EGFR	FGFR1	TGFBR1	CD274	PIK3CD	KRAS	SMAD4	PIK3CB	RAF1	CDKN1A	MAP2K1	NFKB1	AKT1	PTEN	MAPK1	E2F1	JUN	CCND1	RB1	BCL2L1	MAPK8	MTOR	BAX	BECN1	MDM2	TP53	CCNE1	CUX1
961.4	419.06	2191.98	51.18	23.84	4798.01	10.87	3462.88	3806.69	5654.95	1839.47	4281.58	7023.24	3077.23	7125.95	405.14	17160.63	12275.7	3074.68	13619.57	821.12	3668.79	2902.39	3229.02	1441.11	2245.56	401.62	6834.71
8595.85	511.97	2562.4	287.69	335.71	4768.64	1200.11	1951.01	1677.24	3362.47	2843.42	2183.03	5494.62	2576.74	4715.28	768.32	9873.1	6973.73	296.33	8038.6	1079.39	2470.57	1591.21	2064.22	1006.04	1535.81	287.63	5249.25
3138.42	1648.93	1082.93	34.52	834.27	1394	1734.48	3482.09	3658.41	2723.07	2329.75	3632.94	6318.44	3470.44	6834.19	1518	30974.94	10880.71	2875.28	13610.83	1625.18	3785.25	3733.57	3220.62	1076.69	321	723.64	7769.77
5049.99	600.37	2849.79	52.78	228.2	3936.63	310.22	2505.97	4125.77	7656.31	1467.58	2950.47	7798.84	3497.48	4647.45	507.81	4612.25	8811.04	681.59	7093.04	1411.18	3160.68	2618.18	2738.37	25528.56	1857.79	187.45	4925.64
2323.92	417.32	4410.48	23.29	104.31	3276.95	826.17	2367.78	1828.81	13621.09	2792.46	2446.39	7363.14	3182.89	5430.7	973.37	19102.57	22293.1	2500.83	10508.74	432.56	2718.69	3270.72	1369.66	753.7	1936.43	475.92	3815.32
828.43	405.27	1868.08	1131.52	24.11	4627.24	32.48	2926.9	4002.74	7471.21	2277.99	3299.16	4992.68	2973.12	3654.33	352.07	7053.77	25450.15	3982.45	15190.22	1987.73	1900.41	1947.66	3029.14	1517.05	2339.65	100.91	5603.96
677.42	414.63	1419.82	83.65	25.08	2445.68	953.04	1784.17	2970.21	5128.81	2736.38	1960.16	8755.74	2986.6	2447.53	586.75	4473.49	3622.16	1353.44	14847.7	677.12	1207.93	2718.19	2159.11	1418.26	2548.14	319.36	4268.75
1002.45	11391.39	3042.66	244.57	552.9	3995.42	712.13	2105.15	2969.76	16827.34	2624.31	2679.69	13497.95	3163.02	4595.56	1027.47	20515.88	24997.56	1017.9	10138.63	1425.39	1939.46	4067.91	2161.26	1455.24	2519.68	542.68	6861.07
1069.42	474.62	711.67	21.46	11.41	2640.59	463.02	2523.82	1840.21	8227.73	2665	2749.54	5921.87	3094.26	3657.56	485.9	5875.11	8355.43	2008.71	13246.9	774.77	1066.41	4175.94	2144.77	3428.53	2324.97	167.69	8880.25
8332.92	449.69	1802.63	25.9	525.52	1994.78	2923.48	2144.2	2575.73	4545.03	3250.09	3336.17	4347.53	3186.6	2281.77	874.23	5440.45	5074.86	3235.88	14569.5	637.22	1370.39	3637.59	1631.01	2821.32	966.97	267.26	7845.84
662.05	501.8	2303.18	53.86	650.14	881.25	1655.64	2251.17	4404.87	11190.84	2060.26	1435.72	10186.65	3027.09	3488.1	659.37	19608.69	7200.99	571.89	6978.35	849.45	2372.51	3497.54	1236.67	2150.42	1901.69	416.85	7149.33
2868.08	471.12	8916.64	250.07	1582.38	2744.2	1213.5	2008.82	4053.32	28854.34	2846.18	3941.93	9862.18	3055.99	2655.99	306.21	20067.05	32235.36	1583.91	17349.54	766.25	1353.53	3065.32	2490.65	1135.25	2874.96	277.88	5394.66
2022.43	458.03	2636.73	62.41	21.37	2865.37	22.26	1227.94	1792.59	8627.94	2125.83	1338.06	5256.87	2979.72	2314.17	438.55	13550.93	6249.87	3997.11	7019.16	1095.59	1832.19	3484.56	2361.31	725.36	969.22	557.62	4943.3
1842.05	933.28	1402.86	69.54	233.46	4312.44	699.2	2471.55	4317.03	11724.63	3126.6	2111.99	6634.32	3208.71	2305.66	324.2	7141.07	5364.34	1599.12	12870.3	1375.34	1064.3	3820.3	2390.92	2646.59	2082.63	340.06	6948.53
437.31	8464.18	4952.98	132.6	756	1906.05	1603.43	1517.53	3159.33	18701.76	2864.02	1619.79	7226.88	2851.59	4934.89	1428.64	33962.25	8140.06	309.39	9878.18	1598.96	2114.29	4619.94	1893.61	945.86	963.89	1600.27	9859.46
7430.25	430.49	3944.89	329.16	16.47	3816.92	41.01	3503.76	4543.02	4336.31	2792.2	1923.05	5667.95	3135.88	6391.82	2008.31	4527.5	48848.44	1566.02	29919.21	1798.27	1196.11	2300.84	3162.53	1533.31	2485.7	801.31	12233.13
4790.11	524.29	2034.96	305.7	402.59	1932.83	576.08	2102.32	4540.13	10700.41	2586.6	2751.57	8301.42	2681.8	1895.4	739.74	10906.73	10656.66	818.36	16708.57	1513.49	1280.22	4109.62	2839.39	1493.15	2129.57	369.73	3326.92
785.79	457.75	1018.77	130.07	26.37	1320.79	801.59	2606.87	4643.26	7268.48	3185.45	2061.03	6296.56	2883.6	4527.17	401.28	8636.99	14330.69	922.45	11693.77	562.22	2307.78	1909.84	2635.12	773.87	852.35	212.4	6485.74
2988.53	397.14	2203.5	58.5	27.4	3576.26	11.57	2373.57	3666.18	12990.61	2032.91	2387.8	7342.05	2946.9	2629.8	695.8	10493.84	26117.75	1542.96	16244.91	1086.05	1555.96	2509.68	1529.85	2210.12	651.48	169.23	3621.8
1780.43	2660.44	3240.08	79	19.59	7580.65	1476.86	2745.58	2674.82	19427.49	3339.96	4310.85	5563.23	3900.42	5816.33	299.55	11895.91	5327.97	1513.49	6976.07	1090.26	530.39	1793.44	2571.89	2332.03	460.78	98.18	12254.1
716.46	404.9	1460.29	43.52	22.92	3311.67	30.26	2066.85	2385.95	5928.88	2568.31	2505.8	5806.57	2972.43	5189.69	523.52	4554.2	9930.28	6001.02	10869.4	944.05	1700.57	3183.7	1987.35	878.59	3529.54	340.33	6455.58
6981.26	10419.39	10445.29	719.73	36.02	2884.25	1875.77	2363.25	4139.04	12272.78	3443.97	3873.57	6095.09	3499.57	11298.75	872.96	9047.87	16449.99	5791.65	7917.87	1458.81	3090.84	2351.9	2604.84	2139.27	1872.74	586.64	7035.16
609.31	413.62	1395.81	35.85	20.63	1136.4	32.66	1139.07	3364.42	7396.54	2098.84	2438.77	6315.17	3000.79	2650.72	231.14	6010.28	4068.99	551.47	6113.66	800.55	993.2	2932.83	1655.41	1037.26	481.14	107.53	6528.01
12219.33	3246.94	4716.64	1089.6	44.88	4938.31	2419.32	2819.09	3443.26	13644.99	4522.84	4273.94	4080.1	4858.3	6235.41	897.87	10599.29	21396.45	2892.79	30023.11	1461.48	1911.75	2060.96	3019.62	6433.97	3613.31	159.05	4492.24
2038.77	520.2	8275.31	74.86	18.37	5957.9	1268.04	2907.62	4446.13	22536.06	3885.71	1476.53	9219.53	2922.32	5093.72	1212.73	29917.73	15797.78	3661.81	11625.58	1125.15	942.04	3301.79	6874.77	2011.8	2338.17	798.49	9135.3
4074.45	445.1	2955.26	37.22	26.67	2507.19	948.04	1478.63	2811.47	6867.42	1886.37	2449.45	6052.04	2855.33	4554.58	448.82	6822.3	9611.36	1798.18	7630.22	878.34	1088.65	2711.26	2157.85	597.38	1223.01	273.33	6885.98
6821.48	455.73	2141.16	357.05	20.58	1516.77	894.58	1336.77	3261.84	10903.41	2178.79	1003.09	6692.18	3190.5	3044.14	499.35	15981.2	11408.31	2361	12784.06	1022.37	1851.45	3183.42	1562.75	1513.17	1467.49	1914.77	9693.26
3671.59	328.44	1072.74	101.51	20.09	1885.22	1252.68	2883.04	3860.11	5414.92	2967.62	1678.44	9546.53	3076.93	2380.06	745.52	5452.4	10913.4	2143.05	11630.03	1053.09	2142.86	4479.85	2587.2	874.62	2324.99	241.87	11142.89
