EGFR	FGFR1	TGFBR1	CD274	PIK3CD	KRAS	SMAD4	PIK3CB	RAF1	CDKN1A	MAP2K1	NFKB1	AKT1	PTEN	MAPK1	E2F1	JUN	CCND1	RB1	BCL2L1	MAPK8	MTOR	BAX	BECN1	MDM2	TP53	CCNE1	CUX1
9459.87	541.14	2557.19	541.85	994.25	4272.13	1658.44	3061.48	4822.65	7734.37	3740.06	3887.61	6253.46	3044.32	6012.91	680.87	7260.24	22113.12	2785.3	13991.04	1271.47	2830.02	3058.48	2822.9	5265.34	1958.6	341.38	10126.54
618.03	444.27	3730.68	503.53	947.72	3285.43	1218.38	2878.43	3936.09	33806.22	2932.82	2723.7	7879.12	3003.37	4704.95	660.96	47512.4	16952.32	3041.76	13368.25	1001.07	1909.04	1918.19	1554.3	1282.53	2802.34	243.05	8975.75
7767.81	461.29	6535.4	652.49	25.97	6301.04	32.27	3475.74	3407.36	12085.2	4878.11	3495.08	8276.79	3221.09	4981.96	580.36	13100.57	22174.46	1749.89	16168.08	2113.16	1908.28	3417.79	2322.57	895.79	607.29	299.34	14918.77
1944.46	430.47	2476.13	27.89	29.02	2660.81	1450.8	3082.57	2348.35	19758.49	2977.58	3109.1	6789.83	2796.86	5602.87	687.76	22472.15	9478.13	960.64	19057.68	1176.89	1696.05	4480.88	1787.05	2455.19	2561.42	171.34	8074.52
694.7	1163.29	1839.49	412.74	1332.25	2077.32	196.15	1339.96	3447.49	13771.05	1792.5	2376.84	7023.8	2907.69	1168.6	1152.29	10618.56	8687.12	960.12	12762.98	818.97	1331.5	8942.25	1733.44	1903.62	2873.04	367.18	5188.97
39702.8	406.36	1620.99	50.33	23.14	8171.45	1601.97	3991.08	5018.69	8301.06	2819.41	4208.43	10126.3	2936.1	8266.44	744.06	6612.9	37074.47	2709.18	42724.25	4608.64	1519.89	2636.33	2301.64	3035.47	285.6	290.95	11311.39
2711.81	429.75	13034.88	185.85	30.48	4674.45	892.35	3283.38	4061.38	9484.73	3769.42	3807.82	4869.79	3042.83	4808.51	1087.18	15713.6	22205.03	2147.18	12224.41	1956.23	2085.34	2635.02	3596.88	1082.17	1894.69	691.22	8254.28
960.98	390.95	1566.82	131.36	20.7	2689.09	1707.28	1890.25	3629.2	18277.15	2508.53	2270.82	5420.05	3002.66	3699.27	574.43	37357.98	6712.59	1806.18	11044.48	1399.18	1171.08	5426.94	2760.72	2843.36	3453.37	268.42	3511.26
4301.93	481.96	3791.4	155.08	455.55	3780.54	6.2	2885.52	3263.82	10425.93	2294.68	3172.63	10763.01	2968.87	3874.93	497.24	5943.93	9049.24	1840.69	19228.66	1232.43	1396.41	2541.68	2264.06	2801.18	2215.24	287.09	8902.29
8951.92	424.75	3395.92	631.82	24.34	6316.35	49.59	2245.78	3497.82	15073.8	3013.43	4228.09	9813.68	3165.7	3520.62	507.9	7472.61	13077.08	1328.95	20618.39	1680.69	2036.62	4414.25	2935.25	2728.48	1692.18	536.23	7090.93
510.11	420.77	1259.7	86	25.92	2121.01	1268.28	1126.82	2736.78	8514.21	2068.98	2294.63	8532.95	2942.35	2551.35	634.47	9269.36	3011.79	2742.72	11035.58	911.04	1324.5	4316.39	3405.99	999.5	538.42	378.62	3508.79
1139.97	437.12	1055.8	344.87	25.58	1498.1	429.83	2333.4	4251.83	7387.27	2747.09	3150.88	7600.53	3032.05	3033.44	448.2	6626.37	8727.78	2639.74	9495.82	615.99	1710.6	2602.52	1750.41	1550.41	2481.84	261.68	5403.51
8204.87	462.9	1767.87	113.38	842.2	2420.32	507.43	2996.96	5188.12	9504.87	2012.38	2378.97	7357.94	3236.45	3816.53	568.56	5854.92	21787.37	2160.76	20370.96	1155.9	2281.84	4767.59	3549.07	2337.35	5434.08	287.44	8799.53
4134.66	521.87	1589.21	46.63	29.77	2821.74	17.01	4270.26	3956.17	9221.69	2328.96	1896.83	10179.99	3174.21	2695.03	503.61	8172.29	13029.4	2785.96	10178.59	973.76	3307.95	3460.76	1692.55	2291.26	345.43	456.17	11701.08
1842.74	395.66	1346.19	235.53	26.31	3895.29	34.56	1882.03	4167.42	6262.73	2056.31	3548.72	7205.71	2972.61	2614.64	1082.69	7938.89	50081.28	5658.25	10226.62	961.25	3373.77	4664.98	3395.27	2586.97	791.35	783.67	8118.39
4577.07	1020.97	3150.64	272.68	577.58	3238.22	365.05	2190.32	5120.66	7736.5	3013.8	2509.22	9480.27	3297.21	7170.13	1893.88	7688.23	16363.04	3335.56	28784.99	1346.27	2730.52	3557.78	2363.04	2223.52	2034.42	223.88	9642.78
3497.93	488.49	1798.29	515.61	33.52	3036.05	38.73	5460.63	4634.75	10952.11	3124.91	2905.67	8077.43	3254.43	5061.01	741.9	14308.3	12953.24	1696.44	18382.59	1297.41	2394.82	4025.69	2638.65	2223.36	1896.76	321.81	9287.53
3037.2	719	4354.68	100.53	570.68	3504.04	546.03	1766.44	3793.12	6115.66	1866.6	2201.32	7120.94	2847.3	3691.92	710.16	5434.76	14668.22	3431.83	12694.35	1443.94	2312.75	4002.03	2179.49	2131.7	684.39	228.27	3984.86
1262.48	4257.67	1740.21	164.47	583.15	2191.15	399.93	1710.52	3796.58	23119	1820.65	1166.63	7115.77	3547.22	3005.8	1570.98	8943.44	10825.77	377.94	14340.57	966.86	1529.1	4886.42	1533.9	1897.01	990.42	468.7	6238.54
3559.29	492.68	5068.06	104.71	1314.42	2376.3	1958.34	2338.86	3741.27	6912.78	2647.19	3269.51	4427.52	3135.02	3889.54	438.57	4173.81	26170.18	1749.74	9999.57	1003.94	1072.33	3038.54	2987.33	1198.94	2135.92	159.68	8201.4
10617.02	399.59	1592.96	40.39	22.17	4868.78	44.66	2566.81	2670.81	9519.86	2313.16	2351.28	7463.48	2986.36	2884.25	1106.57	6692.91	60368.52	2112.71	29910.14	1314.49	1375.22	2800.57	2739.59	815.41	1735.47	545.91	7027.6
8144.23	413.96	2162.42	139.82	732.44	2812.55	1147.74	2935.16	3789.97	4949.07	2010.88	1990.43	5474.66	3284.14	6247.12	1729.98	8627.72	30151.73	5333.03	9898.74	499.36	4675.73	2709.68	2814.74	509.39	3591.8	540.55	6446.32
3041.76	532.15	6097.02	139.76	15.76	4113.38	8.23	4530.57	5033.78	3790.05	2009.51	2485.56	8958.2	3281.89	4938.9	767.59	7823.26	18301.36	3970.68	12678.58	1632.03	2514.98	2734.28	1459.62	2548.1	2833.54	309.41	6367.13
